,Census_Year,State_Code,State_Name,Region,No_Of_HH,Population,Avg_HH_Population
202,2011,31.0,LAKSHADWEEP,RURAL,2707,14118,5.2
203,2011,31.0,LAKSHADWEEP,URBAN,8834,49898,5.6
204,2011,32.0,KERALA,TOTAL,7835517,33212080,4.2
205,2011,32.0,KERALA,RURAL,4141772,17380701,4.2
206,2011,32.0,KERALA,URBAN,3693745,15831379,4.3
207,2011,33.0,TAMIL NADU,TOTAL,18462231,71403562,3.9
208,2011,33.0,TAMIL NADU,RURAL,9507865,36910442,3.9
209,2011,33.0,TAMIL NADU,URBAN,8954366,34493120,3.9
210,2011,34.0,PUDUCHERRY,TOTAL,301565,1240428,4.1
211,2011,34.0,PUDUCHERRY,RURAL,94900,393741,4.1
212,2011,34.0,PUDUCHERRY,URBAN,206665,846687,4.1
213,2011,35.0,ANDAMAN & NICOBAR ISLANDS,TOTAL,94090,372230,4.0
214,2011,35.0,ANDAMAN & NICOBAR ISLANDS,RURAL,58295,232492,4.0
215,2011,35.0,ANDAMAN & NICOBAR ISLANDS,URBAN,35795,139738,3.9
