Census_Year,State_Code,State_Name,Region,Seniors_In_HH,Total_HH,Male_All,Female_All,Households_One,Male_One,Female_One,Households_Two,Male_Two,Female_Two,Households_Three,Male_Three,Female_Three,Households_Four,Male_Four,Female_Four,Households_Five,Male_Five,Female_Five,Households_Six,Male_Six,Female_Six,Households_Seven_Plus,Male_Seven_Plus,Female_Seven_Plus
2001,0,INDIA (00),TOTAL,Total,"193,119,360","37,639,066","38,752,804","7,645,295","929,974","2,138,823","15,926,266","4,441,297","3,915,165","22,534,494","3,099,899","2,801,071","37,090,534","3,583,524","3,570,794","35,930,733","4,452,761","5,377,736","26,187,941","4,985,926","5,691,498","47,804,097","16,145,685","15,257,717"
2001,0,INDIA (00),TOTAL,None,"134,852,466",0,0,"4,576,498",0,0,"10,151,267",0,0,"17,967,430",0,0,"31,238,003",0,0,"27,757,243",0,0,"17,776,613",0,0,"25,385,412",0,0
2001,0,INDIA (00),TOTAL,1,"41,117,035","20,130,871","20,986,164","3,068,797","929,974","2,138,823","3,193,536","1,893,077","1,300,459","3,301,194","1,824,350","1,476,844","4,605,241","2,323,112","2,282,129","6,575,549","2,844,964","3,730,585","6,223,551","2,792,964","3,430,587","14,149,167","7,522,430","6,626,737"
2001,0,INDIA (00),TOTAL,2,"16,294,024","16,216,488","16,371,560",0,0,0,"2,581,463","2,548,220","2,614,706","1,197,834","1,190,605","1,205,063","1,197,245","1,191,089","1,203,401","1,542,928","1,530,110","1,555,746","2,114,088","2,088,617","2,139,559","7,660,466","7,667,847","7,653,085"
2001,0,INDIA (00),TOTAL,3,"763,059","1,085,769","1,203,408",0,0,0,0,0,0,"68,036","84,944","119,164","45,593","61,171","75,608","51,416","70,498","83,750","69,566","96,123","112,575","528,448","773,033","812,311"
2001,0,INDIA (00),TOTAL,4+,"92,776","205,938","191,672",0,0,0,0,0,0,0,0,0,"4,452","8,152","9,656","3,597","7,189","7,655","4,123","8,222","8,777","80,604","182,375","165,584"
2001,0,INDIA (00),RURAL,Total,"137,495,260","28,295,544","29,029,984","5,473,994","746,957","1,728,940","11,523,535","3,506,020","3,085,108","15,199,922","2,260,154","2,092,821","24,585,604","2,568,898","2,567,864","25,239,905","3,175,100","3,775,114","19,245,245","3,632,285","4,152,422","36,227,055","12,406,130","11,627,715"
2001,0,INDIA (00),RURAL,None,"94,035,577",0,0,"2,998,097",0,0,"7,015,436",0,0,"11,863,487",0,0,"20,428,461",0,0,"19,491,258",0,0,"13,087,687",0,0,"19,151,151",0,0
2001,0,INDIA (00),RURAL,1,"30,317,317","14,865,873","15,451,444","2,475,897","746,957","1,728,940","2,425,070","1,445,503","979,567","2,370,039","1,285,074","1,084,965","3,215,186","1,618,057","1,597,129","4,587,936","2,006,824","2,581,112","4,584,610","2,053,605","2,531,005","10,658,579","5,709,853","4,948,726"
2001,0,INDIA (00),RURAL,2,"12,501,423","12,462,198","12,540,648",0,0,0,"2,083,029","2,060,517","2,105,541","916,252","912,019","920,485","907,089","902,629","911,549","1,122,193","1,114,339","1,130,047","1,521,528","1,506,060","1,536,996","5,951,332","5,966,634","5,936,030"
2001,0,INDIA (00),RURAL,3,"574,151","821,332","901,121",0,0,0,0,0,0,"50,144","63,061","87,371","32,074","43,003","53,219","36,406","49,644","59,574","48,860","67,535","79,045","406,667","598,089","621,912"
2001,0,INDIA (00),RURAL,4+,"66,792","146,141","136,771",0,0,0,0,0,0,0,0,0,"2,794","5,209","5,967","2,112","4,293","4,381","2,560","5,085","5,376","59,326","131,554","121,047"
2001,0,INDIA (00),URBAN,Total,"55,624,100","9,343,522","9,722,820","2,171,301","183,017","409,883","4,402,731","935,277","830,057","7,334,572","839,745","708,250","12,504,930","1,014,626","1,002,930","10,690,828","1,277,661","1,602,622","6,942,696","1,353,641","1,539,076","11,577,042","3,739,555","3,630,002"
2001,0,INDIA (00),URBAN,None,"40,816,889",0,0,"1,578,401",0,0,"3,135,831",0,0,"6,103,943",0,0,"10,809,542",0,0,"8,265,985",0,0,"4,688,926",0,0,"6,234,261",0,0
2001,0,INDIA (00),URBAN,1,"10,799,718","5,264,998","5,534,720","592,900","183,017","409,883","768,466","447,574","320,892","931,155","539,276","391,879","1,390,055","705,055","685,000","1,987,613","838,140","1,149,473","1,638,941","739,359","899,582","3,490,588","1,812,577","1,678,011"
2001,0,INDIA (00),URBAN,2,"3,792,601","3,754,290","3,830,912",0,0,0,"498,434","487,703","509,165","281,582","278,586","284,578","290,156","288,460","291,852","420,735","415,771","425,699","592,560","582,557","602,563","1,709,134","1,701,213","1,717,055"
2001,0,INDIA (00),URBAN,3,"188,908","264,437","302,287",0,0,0,0,0,0,"17,892","21,883","31,793","13,519","18,168","22,389","15,010","20,854","24,176","20,706","28,588","33,530","121,781","174,944","190,399"
2001,0,INDIA (00),URBAN,4+,"25,984","59,797","54,901",0,0,0,0,0,0,0,0,0,"1,658","2,943","3,689","1,485","2,896","3,274","1,563","3,137","3,401","21,278","50,821","44,537"
2001,1,State - JAMMU & KASHMIR  (01),TOTAL,Total,"1,561,667","364,324","309,111","31,920","4,909","4,939","62,383","14,895","14,087","107,653","16,894","14,192","202,910","24,870","20,070","266,180","35,404","31,161","249,870","45,168","41,408","640,751","222,184","183,254"
2001,1,State - JAMMU & KASHMIR  (01),TOTAL,None,"1,061,753",0,0,"22,072",0,0,"41,712",0,0,"83,949",0,0,"167,479",0,0,"212,480",0,0,"181,520",0,0,"352,541",0,0
2001,1,State - JAMMU & KASHMIR  (01),TOTAL,1,"338,071","193,380","144,691","9,848","4,909","4,939","12,360","6,521","5,839","16,516","9,566","6,950","26,257","15,413","10,844","41,252","22,620","18,632","50,750","26,985","23,765","181,088","107,366","73,722"
2001,1,State - JAMMU & KASHMIR  (01),TOTAL,2,"151,891","154,786","148,996",0,0,0,"8,311","8,374","8,248","6,994","7,061","6,927","8,858","8,985","8,731","12,055","12,203","11,907","17,016","17,286","16,746","98,657","100,877","96,437"
2001,1,State - JAMMU & KASHMIR  (01),TOTAL,3,"8,639","13,157","12,760",0,0,0,0,0,0,194,267,315,297,437,454,370,535,575,544,812,820,"7,234","11,106","10,596"
2001,1,State - JAMMU & KASHMIR  (01),TOTAL,4+,"1,313","3,001","2,664",0,0,0,0,0,0,0,0,0,19,35,41,23,46,47,40,85,77,"1,231","2,835","2,499"
2001,1,State - JAMMU & KASHMIR  (01),RURAL,Total,"1,164,092","279,964","234,382","20,576","3,970","3,932","45,279","11,724","11,268","77,020","13,214","11,410","137,219","19,332","15,723","190,056","26,707","22,454","189,422","33,479","29,994","504,520","171,538","139,601"
2001,1,State - JAMMU & KASHMIR  (01),RURAL,None,"781,663",0,0,"12,674",0,0,"28,906",0,0,"58,350",0,0,"109,890",0,0,"150,898",0,0,"139,031",0,0,"281,914",0,0
2001,1,State - JAMMU & KASHMIR  (01),RURAL,1,"259,005","149,799","109,206","7,902","3,970","3,932","9,754","5,059","4,695","12,864","7,305","5,559","19,850","11,649","8,201","29,488","16,781","12,707","37,762","20,409","17,353","141,385","84,626","56,759"
2001,1,State - JAMMU & KASHMIR  (01),RURAL,2,"116,101","118,365","113,837",0,0,0,"6,619","6,665","6,573","5,658","5,704","5,612","7,243","7,329","7,157","9,357","9,467","9,247","12,201","12,414","11,988","75,023","76,786","73,260"
2001,1,State - JAMMU & KASHMIR  (01),RURAL,3,"6,425","9,757","9,518",0,0,0,0,0,0,148,205,239,225,333,342,294,420,462,405,608,607,"5,353","8,191","7,868"
2001,1,State - JAMMU & KASHMIR  (01),RURAL,4+,898,"2,043","1,821",0,0,0,0,0,0,0,0,0,11,21,23,19,39,38,23,48,46,845,"1,935","1,714"
2001,1,State - JAMMU & KASHMIR  (01),URBAN,Total,"397,575","84,360","74,729","11,344",939,"1,007","17,104","3,171","2,819","30,633","3,680","2,782","65,691","5,538","4,347","76,124","8,697","8,707","60,448","11,689","11,414","136,231","50,646","43,653"
2001,1,State - JAMMU & KASHMIR  (01),URBAN,None,"280,090",0,0,"9,398",0,0,"12,806",0,0,"25,599",0,0,"57,589",0,0,"61,582",0,0,"42,489",0,0,"70,627",0,0
2001,1,State - JAMMU & KASHMIR  (01),URBAN,1,"79,066","43,581","35,485","1,946",939,"1,007","2,606","1,462","1,144","3,652","2,261","1,391","6,407","3,764","2,643","11,764","5,839","5,925","12,988","6,576","6,412","39,703","22,740","16,963"
2001,1,State - JAMMU & KASHMIR  (01),URBAN,2,"35,790","36,421","35,159",0,0,0,"1,692","1,709","1,675","1,336","1,357","1,315","1,615","1,656","1,574","2,698","2,736","2,660","4,815","4,872","4,758","23,634","24,091","23,177"
2001,1,State - JAMMU & KASHMIR  (01),URBAN,3,"2,214","3,400","3,242",0,0,0,0,0,0,46,62,76,72,104,112,76,115,113,139,204,213,"1,881","2,915","2,728"
2001,1,State - JAMMU & KASHMIR  (01),URBAN,4+,415,958,843,0,0,0,0,0,0,0,0,0,8,14,18,4,7,9,17,37,31,386,900,785
2001,2,State - HIMACHAL PRADESH  (02),TOTAL,Total,"1,219,062","269,946","276,273","86,014","9,259","17,783","99,406","30,934","27,241","136,374","21,808","17,616","250,743","25,357","24,551","235,683","34,805","42,166","159,501","41,041","46,014","251,341","106,742","100,902"
2001,2,State - HIMACHAL PRADESH  (02),TOTAL,None,"803,409",0,0,"58,972",0,0,"60,032",0,0,"106,339",0,0,"209,347",0,0,"171,343",0,0,"91,902",0,0,"105,474",0,0
2001,2,State - HIMACHAL PRADESH  (02),TOTAL,1,"293,100","143,850","149,250","27,042","9,259","17,783","20,573","12,318","8,255","21,306","12,827","8,479","33,367","17,109","16,258","52,243","22,488","29,755","48,835","22,096","26,739","89,734","47,753","41,981"
2001,2,State - HIMACHAL PRADESH  (02),TOTAL,2,"115,299","115,243","115,355",0,0,0,"18,801","18,616","18,986","8,069","8,097","8,041","7,589","7,613","7,565","11,606","11,597","11,615","18,114","18,009","18,219","51,120","51,311","50,929"
2001,2,State - HIMACHAL PRADESH  (02),TOTAL,3,"6,603","9,473","10,336",0,0,0,0,0,0,660,884,"1,096",397,558,633,454,640,722,614,862,980,"4,478","6,529","6,905"
2001,2,State - HIMACHAL PRADESH  (02),TOTAL,4+,651,"1,380","1,332",0,0,0,0,0,0,0,0,0,43,77,95,37,80,74,36,74,76,535,"1,149","1,087"
2001,2,State - HIMACHAL PRADESH  (02),RURAL,Total,"1,078,016","250,857","258,585","68,390","8,361","16,794","83,403","28,514","25,329","115,330","19,806","16,215","215,271","23,131","22,721","211,967","32,098","38,977","147,280","38,070","43,035","236,375","100,877","95,514"
2001,2,State - HIMACHAL PRADESH  (02),RURAL,None,"690,911",0,0,"43,235",0,0,"47,134",0,0,"87,959",0,0,"177,323",0,0,"152,643",0,0,"84,205",0,0,"98,412",0,0
2001,2,State - HIMACHAL PRADESH  (02),RURAL,1,"272,348","132,754","139,594","25,155","8,361","16,794","18,695","11,116","7,579","19,349","11,549","7,800","30,487","15,477","15,010","48,061","20,641","27,420","45,708","20,525","25,183","84,893","45,085","39,808"
2001,2,State - HIMACHAL PRADESH  (02),RURAL,2,"107,872","107,818","107,926",0,0,0,"17,574","17,398","17,750","7,394","7,414","7,374","7,059","7,076","7,042","10,814","10,805","10,823","16,742","16,643","16,841","48,289","48,482","48,096"
2001,2,State - HIMACHAL PRADESH  (02),RURAL,3,"6,277","9,013","9,818",0,0,0,0,0,0,628,843,"1,041",361,504,579,416,580,668,592,833,943,"4,280","6,253","6,587"
2001,2,State - HIMACHAL PRADESH  (02),RURAL,4+,608,"1,272","1,247",0,0,0,0,0,0,0,0,0,41,74,90,33,72,66,33,69,68,501,"1,057","1,023"
2001,2,State - HIMACHAL PRADESH  (02),URBAN,Total,"141,046","19,089","17,688","17,624",898,989,"16,003","2,420","1,912","21,044","2,002","1,401","35,472","2,226","1,830","23,716","2,707","3,189","12,221","2,971","2,979","14,966","5,865","5,388"
2001,2,State - HIMACHAL PRADESH  (02),URBAN,None,"112,498",0,0,"15,737",0,0,"12,898",0,0,"18,380",0,0,"32,024",0,0,"18,700",0,0,"7,697",0,0,"7,062",0,0
2001,2,State - HIMACHAL PRADESH  (02),URBAN,1,"20,752","11,096","9,656","1,887",898,989,"1,878","1,202",676,"1,957","1,278",679,"2,880","1,632","1,248","4,182","1,847","2,335","3,127","1,571","1,556","4,841","2,668","2,173"
2001,2,State - HIMACHAL PRADESH  (02),URBAN,2,"7,427","7,425","7,429",0,0,0,"1,227","1,218","1,236",675,683,667,530,537,523,792,792,792,"1,372","1,366","1,378","2,831","2,829","2,833"
2001,2,State - HIMACHAL PRADESH  (02),URBAN,3,326,460,518,0,0,0,0,0,0,32,41,55,36,54,54,38,60,54,22,29,37,198,276,318
2001,2,State - HIMACHAL PRADESH  (02),URBAN,4+,43,108,85,0,0,0,0,0,0,0,0,0,2,3,5,4,8,8,3,5,8,34,92,64
2001,3,State - PUNJAB  (03),TOTAL,Total,"4,338,365","1,108,484","1,078,262","120,129","21,569","26,369","229,822","80,681","81,082","378,190","64,602","59,230","810,338","84,360","78,294","936,403","133,485","142,992","699,923","180,795","186,776","1,163,560","542,992","503,519"
2001,3,State - PUNJAB  (03),TOTAL,None,"2,804,173",0,0,"72,191",0,0,"126,249",0,0,"290,904",0,0,"685,309",0,0,"715,766",0,0,"431,670",0,0,"482,084",0,0
2001,3,State - PUNJAB  (03),TOTAL,1,"926,377","467,333","459,044","47,938","21,569","26,369","45,383","22,410","22,973","52,578","28,838","23,740","89,179","47,284","41,895","167,168","78,078","89,090","172,608","82,181","90,427","351,523","186,973","164,550"
2001,3,State - PUNJAB  (03),TOTAL,2,"568,490","575,572","561,408",0,0,0,"58,190","58,271","58,109","32,870","32,980","32,760","34,223","34,526","33,920","51,250","51,855","50,645","92,164","93,073","91,255","299,793","304,867","294,719"
2001,3,State - PUNJAB  (03),TOTAL,3,"34,917","55,074","49,677",0,0,0,0,0,0,"1,838","2,784","2,730","1,479","2,236","2,201","2,076","3,245","2,983","3,298","5,143","4,751","26,226","41,666","37,012"
2001,3,State - PUNJAB  (03),TOTAL,4+,"4,408","10,505","8,133",0,0,0,0,0,0,0,0,0,148,314,278,143,307,274,183,398,343,"3,934","9,486","7,238"
2001,3,State - PUNJAB  (03),RURAL,Total,"2,791,273","803,884","774,425","68,856","16,145","18,867","140,929","57,186","58,836","224,097","44,896","42,771","470,163","59,404","55,383","593,375","93,797","96,224","473,057","126,895","128,822","820,796","405,561","373,522"
2001,3,State - PUNJAB  (03),RURAL,None,"1,702,285",0,0,"33,844",0,0,"67,451",0,0,"163,478",0,0,"383,789",0,0,"445,006",0,0,"287,448",0,0,"321,269",0,0
